feature,mean,std
EXT_SOURCE_MEAN,1093766.3521219254,29999.519184551806
EXT_SOURCE_INCOME_INTERACTION,457103.98513755796,38175.22953990269
RISK_SCORE_1,313199.0612236023,25287.378453453068
RISK_SCORE_2,297878.6476528168,14633.690651500512
ANNUITY_CREDIT_PERCENT,250162.41752376556,9559.645707377773
CREDIT_GOODS_RATIO,144992.91067523957,3861.5570686923793
EXT_SOURCE_MIN,129241.79937553406,10167.538403336084
EXT_SOURCE_WEIGHTED,123945.4683834076,8335.757970565235
AMT_ANNUITY,116603.40692043304,4822.7476434226755
POS_RECENT_CNT_INSTALMENT_FUTURE_mean,106355.851612854,6017.0533121735725
RECENT_PAY_PAYMENT_DELAY_max,98261.38973350525,6274.142299209335
WORKING_AGE_RATIO,93882.96928215027,7542.685739385511
DAYS_BIRTH,93146.70004081726,7470.918905216147
CC_RECENT_UTILIZATION_max,88967.92010326385,3952.1569427048917
DAYS_ID_PUBLISH,87654.30471439361,4212.254049021519
AGE_YEARS,83562.57030277252,6342.109947708905
DAYS_CREDIT_max,81428.94277267456,4113.659595037508
CODE_GENDER,78595.20464935302,2676.062592157827
EXT_SOURCE_PROD,78502.57152500152,1991.3776431458775
NAME_EDUCATION_TYPE,77902.32984695435,2540.1363226474095
EXT_SOURCE_3,76640.84122276306,3987.0054431171284
PREV_REFUSAL_RATE,75932.76118736267,4049.9576465527557
AMT_GOODS_PRICE,75176.1635860443,7094.056713801158
AMT_PAYMENT_sum,73696.91831359864,3413.3305056387385
CNT_INSTALMENT_FUTURE_mean,73035.2765674591,7379.936293946654
CNT_PAYMENT_mean,71917.2992430687,4725.650081135697
AMT_DOWN_PAYMENT_max,68914.22012786866,3884.846342292194
DAYS_REGISTRATION,66939.87359828949,5634.02072110241
DAYS_LAST_PHONE_CHANGE,66866.53040943146,3750.4657224934276
AMT_CREDIT,62653.888774108884,2332.65300066599
